Timestamp	Age	Ville_maj	Ville	Sexe	  specialite_BAC	 Nationale 	Regional	Generale	Francais	 Anglais	Loisirs	preferee 	detestee 	Skills	specialite	performance	satisfaction	  Quelle est votre filiere d cette specialite ?  						
	24	Agadir	agadir	Homme	SVT	9.26	12.6	10.76	Intermediaire	Intermediaire	"Sport, Technologie "	Biologie	Histoire	"Communication, Gestion du temps, Resolution de problemes, Esprit critique"	Biologie	1	3							
	23	Fes	fes	Homme	SP	13.5	15.5	13	Avance	Intermediaire	"Lecture, Sport, Musique, Voyage, Photographie"	Physique	Mathematiques	"Communication, Travail en equipe, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Ingenierie	6	4							
	20	Mohammedia	mohammedia	Homme	SM	12.35	18.5	14.89	Intermediaire	Intermediaire	"Musique, Cinema, Technologie "	Informatique	Chimie	"Travail en equipe, Adaptabilite, Esprit critique"	Ingenierie	6	2							
	22	Sefrou	sefrou	Femme	SE	12.6	13.25	13.51	Avance	Debutant	"Musique, Voyage"	Langues	Histoire	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Resolution de problemes, Leadership"	Economie	8	4							
	18	Safi	safi	Homme	SP	17.2	16.8	17.32	Avance	Intermediaire	"Sport, Cinema, Jeux video"	Physique	None	"Communication, Resolution de problemes, Leadership"	Medecine	8	5							
	25	Khouribga 	khouribga 	Femme	SP	12	16.9	13.23	Avance	Intermediaire	"Musique, Voyage, Cinema, Photographie"	Biologie	None	"Creativite, Empathie, Autonomie"	Biologie	7	3							
	20	Oujda	oujda	Femme	SP	16	17	16	Avance	Avance	"Cinema, Photographie"	Biologie	Mathematiques	"Communication, Gestion du temps, Adaptabilite, Leadership"	Economie	7	3							
	21	casa 	casa 	Homme	SH	16	15	15	Avance	Avance	"Sport, Musique, Voyage, Jeux video, Ecriture"	Langues	Physique	"Communication, Travail en equipe, Gestion du temps, Resolution de problemes, Leadership, Esprit critique"	Sciences politiques	6	3							
	18	RABAT	rabat	Homme	SE	12.52	15.95	14.08	Intermediaire	Avance	"Sport, Musique, Voyage"	Histoire	Mathematiques	"Travail en equipe, Leadership, Empathie"	Economie	8	5							
	18	fes	fes	Femme	SE	15.58	16.98	16	Avance	Intermediaire	"Voyage, Jeux video, Arts plastiques , Photographie"	Informatique	Mathematiques	"Travail en equipe, Adaptabilite, Autonomie"	Economie	7	4							
	18	fes	fes	Femme	SP	14.2	16.15	15.76	Avance	Intermediaire	"Lecture, Musique, Voyage"	Mathematiques	Biologie	"Travail en equipe, Gestion du temps, Adaptabilite"	Economie	8	4							
	18	Fes	fes	Homme	SM	11.5	15.8	12.42	Avance	Fluent	"Sport, Jeux video, Technologie "	Mathematiques	Philosophie 	"Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie, Za wordo"	Economie	7	2							
	18	Fes	fes	Femme	SP	14.58	17.1	16.06	Avance	Intermediaire	"Lecture, Musique, Photographie"	Biologie	Mathematiques	"Travail en equipe, Gestion du temps, Esprit critique"	Economie	7	4							
	18	fes	fes	Femme	SP	15.76	16.35	16.63	Avance	Intermediaire	"Musique, Voyage, Cinema"	Biologie	Mathematiques	"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique, Autonomie"	Economie	5	2							
	18	Sefrou	sefrou	Femme	SGC	14.67	16.48	15.52	Avance	Intermediaire	"Musique, Voyage, Photographie"	Comptabilite	Mathematiques	Travail en equipe	Economie	8	4							
	18	Fes	fes	Homme	SM	12.5	18	15.5	Avance	Intermediaire	"Sport, Musique, Voyage, Cinema, Jeux video, Benevolat"	Physique	Biologie	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Economie	8	3							
	19	ouezzane 	ouezzane 	Homme	SP	13.6	17.75	15.41	Intermediaire	Intermediaire	"Sport, Jeux video, Arts plastiques , Ecriture, Chess"	Mathematiques	Biologie	"Creativite, Resolution de problemes, Leadership, Esprit critique"	Economie	4	2							
	19	Fes	fes	Femme	SP	14.35	16.5	15.31	Avance	Intermediaire	"Sport, Musique, Voyage, Technologie , Photographie"	Mathematiques	Histoire	"Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Autonomie"	Economie	8	5							
	19	meknes 	meknes 	Femme	SE	16.18	15.63	16.45	Intermediaire	Intermediaire	auto sport 	comptabilite 	Langues	"Travail en equipe, Gestion du temps, Resolution de problemes, Esprit critique, Autonomie"	Economie	7	5							
	18	casa 	casa 	Femme	SE	15.46	16.6	16.34	Avance	Fluent	"Lecture, Musique, Cinema, Jeux video, Ecriture, Photographie"	Langues	Mathematiques	"Travail en equipe, Gestion du temps, Resolution de problemes, Esprit critique, Autonomie"	Economie	8	5							
	18	casa	casa	Homme	SP	13	15.05	14	Avance	Intermediaire	"Sport, Musique, Voyage, Jeux video, Technologie "	Mathematiques	Litterature	Communication	Informatique	5	4							
	17	Marrakech 	marrakech 	Homme	SP	15.55	16.65	16.71	Avance	Intermediaire	"Lecture, Cinema, Arts plastiques "	Biologie	Mathematiques	Communication	Biologie	4	1							
	21	casa	casa	Femme	SM	17.18	19.1	18.17	Avance	Fluent	"Lecture, Ecriture"	Informatique	None	"Travail en equipe, Adaptabilite, Empathie, Esprit critique"	Informatique	7	5							
	21	Tetouan	tetouan	Homme	SP	16	15	15.5	Intermediaire	Avance	Rien	Informatique	None	"Communication, Empathie"	Informatique	7	5							
	19	Nador	nador	Femme	SP	10.98	15	13.16	Intermediaire	Intermediaire	Ecriture	Chimie	None	"Communication, Gestion du temps, Resolution de problemes"	Chimie	8	5							
	21	casa	casa	Femme	SGC	11.82	12.12	11	Avance	Intermediaire	Lecture	philosofie	None	"Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Autonomie"	Economie	5	3							
	23	Rabat	rabat	Homme	SP	12.88	13.1	12.8	Debutant	Debutant	"Sport, Voyage, Jeux video, Technologie "	Informatique	Informatique	Gestion du temps	Informatique	8	5							
	25	Oujda	oujda	Femme	SP	11	13.5	12.78	Avance	Avance	"Lecture, Photographie"	Langues	None	"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problemes"	Informatique	4	3							
	18	Nador	nador	Homme	SP	13	14	14	Intermediaire	Intermediaire	"Musique, Jeux video, Technologie "	Informatique	Biologie	Gestion du temps	Informatique	8	4							
	18	Ksar el kebir	ksar el kebir	Femme	SM	14	17.85	16.26	Avance	Intermediaire	"Lecture, Sport, Voyage, Benevolat, Technologie "	Mathematiques	Physique	"Communication, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Autonomie"	Ingenierie	8	5							
	20	casa 	casa 	Homme	SP	16	18	16	Intermediaire	Intermediaire	"Lecture, Sport, Technologie "	Physique	Biologie	"Communication, Travail en equipe"	Informatique	6	3							
	22	casa 	casa 	Femme	SP	13.13	17.8	15.11	Avance	Avance	"Lecture, Musique, Cinema, Technologie , Ecriture"	Mathematiques	Histoire	"Creativite, Esprit critique"	Informatique	7	4	Intelligence Artificielle 						
	23	sale	sale	Femme	SP	16.73	16	16.67	Avance	Avance	"Lecture, Sport, Benevolat, Technologie "	Mathematiques	Chimie	"Travail en equipe, Adaptabilite, Creativite, Resolution de problemes, Esprit critique"	Ingenierie	7	3	Informatique 						
	30	casa	casa	Femme	SM	14.3	16	14.7	Fluent	Fluent	"Sport, Voyage, Ecriture"	Informatique	Histoire	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership"	Ingenierie	3	1	Genie mecanique						
	21	marrakech	marrakech	Homme	SP	14.25	16.25	15.25	Intermediaire	Intermediaire		Informatique	Mathematiques	Adaptabilite	Informatique	7	5	Systemes d'Informations Repartis						
	24	Agadir	agadir	Femme	SM	12	15	13	Avance	Avance	"Lecture, Sport, Technologie , Photographie"	Mathematiques	None	"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problemes, Empathie, Esprit critique, Autonomie"	Informatique	8	5	Intelligence artificielle 						
	21	fes	fes	Homme	SP	14.75	18.2	16.53	Intermediaire	Intermediaire	"Sport, Musique, Jeux video, Technologie "	Informatique	Mathematiques	"Travail en equipe, Adaptabilite, Esprit critique"	Ingenierie	7	4	Robotique						
	22	Taroudant	taroudant	Femme	SM	9.5	15	11.5	Avance	Intermediaire	"Sport, Voyage, Cinema, Benevolat, Technologie , Photographie"	Informatique	Histoire	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes, Empathie, Autonomie"	Ingenierie	6	4	Cybersecurite						
	20	Tetouan	tetouan	Homme	SM	12	17	14	Avance	Avance	"Sport, Voyage, Jeux video, Technologie "	Informatique	Biologie	"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problemes, Leadership, Esprit critique"	Informatique	9	5	Big Data & AI						
	20	Marrakech 	marrakech 	Homme	SP	13.27	16.9	15.27	Intermediaire	Debutant	"Sport, Voyage"	Physique	None	"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique, Autonomie"	Medecine	9	5	Technicien de radiologie medicale 						
	17	Benguerir 	benguerir 	Femme	SP	17	17.65	17.2	Intermediaire	Intermediaire	"Lecture, Sport, Arts plastiques , Technologie , Ecriture, Photographie"	Physique	Langues	"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problemes, Leadership, Esprit critique, Autonomie"	Medecine	10	5	Obstetricien et gynecologue						
	18	Fes	fes	Femme	SP	12	17.3	14.5	Avance	Intermediaire	"Sport, Musique, Voyage, Photographie"	Informatique	None	"Communication, Travail en equipe, Resolution de problemes, Esprit critique, Autonomie"	Informatique	7	5	Ingenieurie des donnees 						
	18	Agadir 	agadir 	Femme	SE	14.36	13.51	15.01	Avance	Intermediaire	"Sport, Musique, Voyage, Photographie"	Langues	Mathematiques	"Communication, Travail en equipe, Leadership"	Economie	6	4	Entreprenariat digital et communication 						
	21	Safi	safi	Homme	SP	12.75	15.7	15.76	Avance	Avance	"Musique, Voyage, Arts plastiques "	Informatique	Chimie	Travail en equipe	Informatique	10	5	Ingenierie informatique 						
	18	Agadir	agadir	Femme	SE	13.7	12.6	15	Intermediaire	Debutant	"Sport, Musique, Voyage"	Comptabilite 	Mathematiques	"Travail en equipe, Gestion du temps, Creativite"	Economie	6	5	Techniques de management 						
	18	Agadir	agadir	Femme	SE	13.7	12.6	15	Intermediaire	Debutant	"Sport, Musique, Voyage"	Comptabilite 	Mathematiques	"Travail en equipe, Gestion du temps, Creativite"	Economie	6	5	Techniques de management 						
	19	sale	sale	Homme	SP	9	14.9	11.82	Avance	Debutant	"Sport, Musique, Voyage, Jeux video"	Mathematiques	Langues	"Communication, Travail en equipe, Resolution de problemes"	Infirmerie	8	3	infirmiere polyvalent 						
	19	sale 	sale 	Femme	SP	10	15.67	11.66	Avance	Debutant	"Musique, Voyage, Cinema"	Physique	Informatique	"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problemes"	Infirmerie	8	4	Sante mentale 						
	20	sale 	sale 	Femme	SP	10.45	16.4	11.3	Fluent	Avance	"Lecture, Musique, Voyage, Cinema, Arts plastiques , Benevolat"	Biologie	Mathematiques	"Communication, Creativite, Empathie, Esprit critique, Autonomie"	Infirmerie	9	5	Infirmiere polyvalente 						
	18	sale 	sale 	Homme	SP	8	15.05	10.73	Intermediaire	Avance	"Sport, Voyage, Cinema, Jeux video"	Informatique	Mathematiques	Empathie	Reseau	6	4	Infrastructure digitale system et reseaux 						
	19	sale	sale	Femme	SP	10	15	12	Avance	Fluent	"Lecture, Musique, Voyage, Cinema, Photographie"	Physique	Mathematiques	"Communication, Adaptabilite, Resolution de problemes, Empathie"	Infirmerie	9	5	Polyvalente 						
	18	sale	sale	Homme	SP	9	16	11	Intermediaire	Avance	"Lecture, Sport, Musique, Voyage, Cinema, Jeux video, "	Langues	Biologie	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie, Esprit critique, Autonomie"	Infirmerie	10	1	Polyvalent 						
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
