Timestamp	Age	Ville_maj	Ville	Sexe	  specialite_BAC	 Nationale 	Regional	Generale	Francais	 Anglais	Loisirs	preferee 	detestee 	Skills	specialite	performance	satisfaction	  Quelle est votre filiere d cette specialite ?  						
	19	FES	fes	Femme	SM	11.9	18.6	15.42	Fluent	Fluent	"Lecture, Musique, Voyage, Arts plastiques , Ecriture, Photographie"	Biologie	None	"Communication, Travail en equipe, Adaptabilite, Creativite, Leadership, Esprit critique, Autonomie"	Informatique	6	5							
	18	Fes	fes	Homme	SP	14.48	14.75	14.86	Intermediaire	Intermediaire	Jeux video	Biologie	Mathematiques	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes, Esprit critique"	Medecine	10	5							
	23	Beni Mellal 	beni mellal 	Homme	Lettres	16.73	16	16	Intermediaire	Intermediaire	"Lecture, Sport, Musique, Voyage, Cinema"	Litterature	Litterature	"Travail en equipe, Resolution de problemes, Esprit critique"	Sciences humaines et sociales	7	3							
	19	Meknes	meknes	Homme	SP	15.14	13.5	15.04	Intermediaire	Debutant	"Sport, Jeux video, Arts plastiques , Technologie "	Informatique	Langues	"Gestion du temps, Adaptabilite, Creativite, Resolution de problemes"	Informatique	6	4							
	21	Rabat 	rabat 	Femme	SM	12.75	16.17	14.75	Avance	Intermediaire	"Sport, Voyage, Arts plastiques , Photographie"	Mathematiques	Histoire	"Communication, Travail en equipe, Gestion du temps, Creativite, Leadership"	Ingenierie	8	4							
	19	sale	sale	Homme	SP	11.51	15.55	13	Intermediaire	Avance	"Voyage, Technologie , chess"	Informatique	Biologie	"Adaptabilite, Resolution de problemes, Leadership"	Informatique	8	5							
	22	Rabat	rabat	Homme	SP	12	12	12.64	Intermediaire	Avance	"Musique, Voyage, Jeux video, Benevolat, Photographie"	Langues	Physique	"Communication, Travail en equipe, Leadership"	Economie	7	5							
	19	sale	sale	Homme	SP	10	17	13	Intermediaire	Debutant	"Sport, Musique, Voyage, Benevolat"	Marketing 	Physique	"Communication, Travail en equipe, Gestion du temps, Adaptabilite"	Economie	5	5							
	20	RABAT	rabat	Femme	SP	17	18	18	Avance	Intermediaire	"Lecture, Arts plastiques , Benevolat, Ecriture"	Mathematiques.Litterature.Langues.Histoire	None	"Adaptabilite, Creativite, Resolution de problemes, Esprit critique, Autonomie"	Ingenierie	7	4							
	20	Fes	fes	Femme	SM	13	17.9	15.36	Avance	Avance	"Lecture, Musique, Voyage, Arts plastiques , Technologie , Ecriture, Photographie"	Biologie	Histoire	"Communication, Gestion du temps, Adaptabilite, Leadership, Empathie, Esprit critique, Autonomie"	Medecine	8	5							
	23	el hajeb	el hajeb	Femme	SP	17	14.4	16.65	Intermediaire	Intermediaire	"Sport, Voyage, Photographie"	Physique	Langues	"Travail en equipe, Adaptabilite"	Ingenierie	7	4							
	32	Immouzzer 	immouzzer 	Femme	SP	12.4	10	11.8	Avance	Intermediaire	"Lecture, Sport, Cuisson"	Physique	Chimie	"Resolution de problemes, Esprit critique"	Physique	7	4							
	31	fes	fes	Femme	SM	12.5	12	12.5	Fluent	Intermediaire	"Sport, Jeux video"	Informatique	Mathematiques	"Communication, Travail en equipe, Adaptabilite, Resolution de problemes, Leadership, Esprit critique"	Informatique	8	4							
	24	Rabat	rabat	Femme	SP	15.01	16.31	15.51	Avance	Intermediaire	"Voyage, Arts plastiques , Benevolat, Technologie "	Informatique	Histoire	"Communication, Travail en equipe, Gestion du temps, Creativite, Leadership"	Economie	8	5							
	19	sale al jadida	sale al jadida	Homme	SE	8.4	13.83	10.9	Intermediaire	Avance	"Sport, Musique"	Langues	Mathematiques	"Communication, Adaptabilite, Creativite"	Langues etrangeres	6	2							
	21	TanTan	tantan	Homme	SM	15	14:50	15:30	Debutant	Debutant	Sport	Mathematiques	Litterature	Resolution de problemes	Mathematiques appliquees	6	3							
	20	fes	fes	Homme	SM	9.31	17.5	13.27	Avance	Avance	"Lecture, Sport, Musique, Voyage, Cinema, Jeux video, Arts plastiques , Technologie , Ecriture, Photographie"	Physique	None	"Adaptabilite, Resolution de problemes, Esprit critique, Autonomie"	Ingenierie	2	5							
	19	Fes	fes	Homme	SP	13.5	16.9	14.6	Intermediaire	Intermediaire	"Sport, Musique, Jeux video, Technologie "	Informatique	Mathematiques	"Communication, Travail en equipe, Creativite"	Informatique	6	5							
	22	Alhoceima	alhoceima	Femme	SP	16.63	16.1	16.97	Avance	Intermediaire	"Lecture, Arts plastiques , Technologie "	Mathematiques	None	"Communication, Travail en equipe, Creativite, Resolution de problemes, Leadership, Esprit critique"	Ingenierie	7	4							
	19	Fes	fes	Homme	SP	12.66	16.5	15	Intermediaire	Intermediaire	"Sport, Musique, Voyage"	Physique	Litterature	"Communication, Esprit critique, Autonomie"	Informatique	3	2							
	22	Mohammedia	mohammedia	Femme	SP	15.6	13.6	15.64	Intermediaire	Intermediaire	"Lecture, Sport, Voyage, Arts plastiques "	Mathematiques	None	"Adaptabilite, Creativite"	Physique	5	2							
	22	Agadir	agadir	Homme	SP	17.21	17.31	17.15	Intermediaire	Avance	"Sport, Musique, Voyage, Cinema, Jeux video, Technologie "	Physique	Litterature	"Travail en equipe, Gestion du temps, Creativite, Esprit critique"	Informatique	8	4							
	19	Fes	fes	Femme	SP	12.01	16.97	14.1	Avance	Intermediaire	"Lecture, Musique, Voyage, Jeux video, Arts plastiques , Technologie "	Informatique	Biologie	"Communication, Adaptabilite, Esprit critique"	Informatique	7	4							
	20	fes	fes	Homme	SP	14.5	15.5	15	Intermediaire	Intermediaire	"Lecture, Sport"	Informatique	None	"Travail en equipe, Resolution de problemes, Esprit critique"	Informatique	8	5							
	21	sale	sale	Femme	SVT	15.14	17.2	16.4	Avance	Avance	"Sport, Voyage, Benevolat, Photographie"	Biologie	None	"Travail en equipe, Adaptabilite, Empathie"	Biologie	8	4							
	30	Elhajeb	elhajeb	Femme	SVT	11	12	11	Intermediaire	Debutant	"Lecture, Voyage, Photographie, Cuisson"	Biologie	Physique	"Adaptabilite, Empathie, Ecoute,Gestion du stress"	education	6	1							
	20	Midelt	midelt	Femme	SP	15.37	15.95	15.77	Avance	Intermediaire	"Lecture, Musique, Voyage"	Informatique	Histoire	Resolution de problemes	Reseau	9	4							
	31	Meknes 	meknes 	Femme	SP	17.4	13.4	16.11	Avance	Intermediaire	Dormir	Chimie	Histoire	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Empathie, Autonomie"	Chimie	8	4							
	24	Fes	fes	Femme	SP	15.84	11.08	14.65	Intermediaire	Intermediaire	"Lecture, Sport, Musique, Voyage, Technologie "	Mathematiques	Histoire	"Travail en equipe, Adaptabilite, Resolution de problemes, Leadership, Empathie"	Ingenierie	8	4							
	21	Sidi slimane 	sidi slimane 	Homme	SP	16.97	17.45	17.24	Avance	Avance	Sport	Physique	Histoire	"Communication, Adaptabilite, Creativite, Resolution de problemes"	Ingenierie	8	4							
	19	Rich	rich	Homme	SP	12	15	14	Intermediaire	Intermediaire	"Sport, Musique, Voyage, Jeux video"	Informatique	Litterature	"Travail en equipe, Resolution de problemes"	Informatique	7	5							
	25	Fes	fes	Femme	SP	12.2	14.85	11.6	Intermediaire	Debutant	Arts plastiques 	Langues	Physique	Creativite	Arts et design	7	5							
	22	Oujda	oujda	Homme	STE	14.34	15.3	14.58	Avance	Avance	"Sport, Musique, Jeux video, One piece"	Physique	Litterature	"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problemes, Leadership, Empathie"	Ingenierie	8	4							
	29	Azrou 	azrou 	Femme	SP	15.15	13.25	15.37	Intermediaire	Debutant	"Sport, Musique, Voyage, Arts plastiques , Ecriture"	Mathematiques	Langues	"Communication, Gestion du temps"	Ingenierie	7	4							
	23	Fes	fes	Homme	SP	13.5	13.5	13.5	Avance	Intermediaire	"Sport, Musique, Voyage, Cinema, Jeux video"	Informatique	Biologie	"Empathie, Esprit critique"	Physique	7	2							
	20	sale 	sale 	Homme	SE	14	13	15	Avance	Intermediaire	Sport	Mathematiques	Litterature	Travail en equipe	Economie	8	4							
	31	El Hajeb	el hajeb	Femme	SVT	14	12	13	Intermediaire	Debutant	"Lecture, Musique, Cinema"	Informatique	Histoire	Travail en equipe	Biologie	5	2							
	22	Tetouan 	tetouan 	Homme	STE	16.35	16	16.35	Fluent	Intermediaire	"Voyage, Arts plastiques , Technologie , Photographie"	Sciences d'ingenieur	Chimie	"Travail en equipe, Creativite, Resolution de problemes, Leadership"	Ingenierie	9	5							
	19	Fes	fes	Femme	SP	12.14	14.43	14.02	Intermediaire	Avance	"Lecture, Musique, Cinema"	Informatique	Histoire	Communication	Informatique	5	3							
	20	Taza	taza	Homme	SM	14.37	14.3	15.37	Intermediaire	Avance	"Lecture, Musique, Jeux video, Technologie "	Informatique	Litterature	"Travail en equipe, Adaptabilite, Resolution de problemes, Esprit critique, Autonomie"	Informatique	8	5							
	31	Sale	sale	Homme	Lettres	11	10	11	Intermediaire	Avance	"Musique, Voyage"	Langues	None	"Travail en equipe, Leadership"	Droit	4	3							
