Age,Ville,Sexe,  specialite_BAC,Nationale,Regional,Generale,Francais, Anglais,Loisirs,preferee ,detestee,Skills,specialite,performance,satisfaction,felier
18,casa ,Femme,SE,"15,46","16,6","16,34",Avance,Fluent,"Lecture, Musique, Cinema, Jeux video, Ecriture, Photographie",Langues,Mathematiques,"Travail en equipe, Gestion du temps, Resolution de problèmes, Esprit critique, Autonomie",Economie,8,5,
18,casa,Homme,SP,13,"15,05",14,Avance,Intermediaire,"Sport, Musique, Voyage, Jeux video, Technologie ",Mathematiques,Litterature,Communication,Informatique,5,4,
17,marrakech ,Homme,SP,"15,55","16,65","16,71",Avance,Intermediaire,"Lecture, Cinema, Arts plastiques ",Biologie,Mathematiques,Communication,Biologie,4,1,
21,casa,Femme,SM,"17,18","19,1","18,17",Avance,Fluent,"Lecture, Ecriture",Informatique,None,"Travail en equipe, Adaptabilite, Empathie, Esprit critique",Informatique,7,5,
21,tetouan,Homme,SP,16,15,"15,5",Intermediaire,Avance,Rien,Informatique,None,"Communication, Empathie",Informatique,7,5,
19,nador,Femme,SP,"10,98",15,"13,16",Intermediaire,Intermediaire,Ecriture,Chimie,None,"Communication, Gestion du temps, Resolution de problèmes",Chimie,8,5,
21,casa,Femme,SGC,"11,82","12,12",11,Avance,Intermediaire,Lecture,philosofie,None,"Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Autonomie",Economie,5,3,
23,rabat,Homme,SP,"12,88","13,1","12,8",Debutant,Debutant,"Sport, Voyage, Jeux video, Technologie ",Informatique,Informatique,Gestion du temps,Informatique,8,5,
25,oujda,Femme,SP,11,"13,5","12,78",Avance,Avance,"Lecture, Photographie",Langues,None,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes",Informatique,4,3,
18,nador,Homme,SP,13,14,14,Intermediaire,Intermediaire,"Musique, Jeux video, Technologie ",Informatique,Biologie,Gestion du temps,Informatique,8,4,
18,ksar el kebir,Femme,SM,14,"17,85","16,26",Avance,Intermediaire,"Lecture, Sport, Voyage, Benevolat, Technologie ",Mathematiques,Physique,"Communication, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Autonomie",Ingenierie,8,5,
20,casa ,Homme,SP,16,18,16,Intermediaire,Intermediaire,"Lecture, Sport, Technologie ",Physique,Biologie,"Communication, Travail en equipe",Informatique,6,3,
22,casa ,Femme,SP,"13,13","17,8","15,11",Avance,Avance,"Lecture, Musique, Cinema, Technologie , Ecriture",Mathematiques,Histoire,"Creativite, Esprit critique",Informatique,7,4,Intelligence Artificielle 
23,sale,Femme,SP,"16,73",16,"16,67",Avance,Avance,"Lecture, Sport, Benevolat, Technologie ",Mathematiques,Chimie,"Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Esprit critique",Ingenierie,7,3,Informatique 
30,casa,Femme,SM,"14,3",16,"14,7",Fluent,Fluent,"Sport, Voyage, Ecriture",Informatique,Histoire,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership",Ingenierie,3,1,Genie mecanique
21,marrakech,Homme,SP,"14,25","16,25","15,25",Intermediaire,Intermediaire,,Informatique,Mathematiques,Adaptabilite,Informatique,7,5,Systèmes d'Informations Repartis
24,agadir,Femme,SM,12,15,13,Avance,Avance,"Lecture, Sport, Technologie , Photographie",Mathematiques,None,"Communication, Travail en equipe, Adaptabilite, Creativite, Resolution de problèmes, Empathie, Esprit critique, Autonomie",Informatique,8,5,Intelligence artificielle 
21,fes,Homme,SP,"14,75","18,2","16,53",Intermediaire,Intermediaire,"Sport, Musique, Jeux video, Technologie ",Informatique,Mathematiques,"Travail en equipe, Adaptabilite, Esprit critique",Ingenierie,7,4,Robotique
22,taroudant,Femme,SM,"9,5",15,"11,5",Avance,Intermediaire,"Sport, Voyage, Cinema, Benevolat, Technologie , Photographie",Informatique,Histoire,"Communication, Travail en equipe, Adaptabilite, Resolution de problèmes, Empathie, Autonomie",Ingenierie,6,4,Cybersecurite
20,tetouan,Homme,SM,12,17,14,Avance,Avance,"Sport, Voyage, Jeux video, Technologie ",Informatique,Biologie,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership, Esprit critique",Informatique,9,5,Big Data & AI
20,marrakech ,Homme,SP,"13,27","16,9","15,27",Intermediaire,Debutant,"Sport, Voyage",Physique,None,"Communication, Travail en equipe, Adaptabilite, Leadership, Esprit critique, Autonomie",Medecine,9,5,Technicien de radiologie medicale 
17,benguerir ,Femme,SP,17,"17,65","17,2",Intermediaire,Intermediaire,"Lecture, Sport, Arts plastiques , Technologie , Ecriture, Photographie",Physique,Langues,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes, Leadership, Esprit critique, Autonomie",Medecine,10,5,Obstetricien et gynecologue
18,fes,Femme,SP,12,"17,3","14,5",Avance,Intermediaire,"Sport, Musique, Voyage, Photographie",Informatique,None,"Communication, Travail en equipe, Resolution de problèmes, Esprit critique, Autonomie",Informatique,7,5,Ingenieurie des donnees 
18,agadir ,Femme,SE,"14,36","13,51","15,01",Avance,Intermediaire,"Sport, Musique, Voyage, Photographie",Langues,Mathematiques,"Communication, Travail en equipe, Leadership",Economie,6,4,Entreprenariat digital et communication 
21,safi,Homme,SP,"12,75","15,7","15,76",Avance,Avance,"Musique, Voyage, Arts plastiques ",Informatique,Chimie,Travail en equipe,Informatique,10,5,Ingenierie informatique 
18,agadir,Femme,SE,"13,7","12,6",15,Intermediaire,Debutant,"Sport, Musique, Voyage",Comptabilite ,Mathematiques,"Travail en equipe, Gestion du temps, Creativite",Economie,6,5,Techniques de management 
19,sale,Homme,SP,9,"14,9","11,82",Avance,Debutant,"Sport, Musique, Voyage, Jeux video",Mathematiques,Langues,"Communication, Travail en equipe, Resolution de problèmes",Infirmerie,8,3,infirmière polyvalent 
19,sale ,Femme,SP,10,"15,67","11,66",Avance,Debutant,"Musique, Voyage, Cinema",Physique,Informatique,"Communication, Travail en equipe, Gestion du temps, Creativite, Resolution de problèmes",Infirmerie,8,4,Sante mentale 
20,sale ,Femme,SP,"10,45","16,4","11,3",Fluent,Avance,"Lecture, Musique, Voyage, Cinema, Arts plastiques , Benevolat",Biologie,Mathematiques,"Communication, Creativite, Empathie, Esprit critique, Autonomie",Infirmerie,9,5,Infirmière polyvalente 
18,sale ,Homme,SP,8,"15,05","10,73",Intermediaire,Avance,"Sport, Voyage, Cinema, Jeux video",Informatique,Mathematiques,Empathie,Reseau,6,4,Infrastructure digitale system et reseaux 
19,sale,Femme,SP,10,15,12,Avance,Fluent,"Lecture, Musique, Voyage, Cinema, Photographie",Physique,Mathematiques,"Communication, Adaptabilite, Resolution de problèmes, Empathie",Infirmerie,9,5,Polyvalente 
18,sale,Homme,SP,9,16,11,Intermediaire,Avance,"Lecture, Sport, Musique, Voyage, Cinema, Jeux video, ",Langues,Biologie,"Communication, Travail en equipe, Gestion du temps, Adaptabilite, Creativite, Resolution de problèmes, Leadership, Empathie, Esprit critique, Autonomie",Infirmerie,10,1,Polyvalent 
