Age	    Ville	Sexe  Specialite_2BAC   Note_Nationale	Note_Regionale	Note_Generale	Niveau_Francais	Niveau_Anglais	Loisirs	Matiere_Preferee	Matiere_Detestee	Soft_Skills	Specialite	Performance	Satisfaction
22	    12	    1	    4	            15.6 	        13.6	        15.64	        2	2	1,2,4,7	1	0	1,2	6	5	2
22	    12	    1	    4	            15.6 	        13.6	        15.64	        2	2	1,2,4,7	1	0	1,2	6	5	2
25	    7	    1	    4	            10	            17	            13	4	        3	1,8,10	3	1	1,2,4	16	8	5
25	    7	    1	    4	            10	            17	            13	4	        3	1,8,10	3	1	1,2,4	16	8	5
18	    4	    1	    4	            14	            14.6	        15	2	        2	1,4,8,9	7	8	1,2,5	7	4	4
18	    4	    1	    4	            14	            14.6	        15	2	        2	1,4,8,9	7	8	1,2,5	7	4	4
21	    27	    0	    4	            14	            15	            15	3	        2	2,6	7	6	1,2,3	7	7	4
21	    27	    0	    4	            14	            15	            15	3	        2	2,6	7	6	1,2,3	7	7	4
22	    4	    0	    4	            12	            15.25	        13.71	        2	3	2,4,9	7	2	1,2,3	7	4	5
22	    4	    0	    4	            12	            15.25	        13.71	        2	3	2,4,9	7	2	1,2,3	7	4	5
19	    44	    0	    4	            11.61	        17.45	        13.76	        3	3	2	8	5	1,2,3,4	3	7	4
19	    44	    0	    4	            11.61	        17.45	        13.76	        3	3	2	8	5	1,2,3,4	3	7	4
17.5    1	    0	    7	            17	            15.98	        17.5	        3	2	1,2,5,10	4	2	1,2,3,5	7	8	5
17.5    1	    0	    7	            17	            15.98	        17.5	        3	2	1,2,5,10	4	2	1,2,3,5	7	8	5
20	    2	    1	    4	            17	            18	            18	3	        2	1,7,8,10	1,4,6,5	0	1,2,3,5,4	2	7	4
20	    2	    1	    4	            17	            18	            18	3	        2	1,7,8,10	1,4,6,5	0	1,2,3,5,4	2	7	4
18	    3	    0	    1	            11.5	        15.8	        12.42	        3	4	2,6,9	1	0	1,2,3,6,7,5,4	7	7	2
18	    3	    0	    1	            11.5	        15.8	        12.42	        3	4	2,6,9	1	0	1,2,3,6,7,5,4	7	7	2
20	    7	    0	    4	            14.27	        15.2	        15.58	        2	2	1,3,6	7	6	1,7,4	7	8	5
20	    7	    0	    4	            14.27	        15.2	        15.58	        2	2	1,3,6	7	6	1,7,4	7	8	5
30	    1	    1	    2	            11	            12	            11	2	        1	1,4,11	8	2	1,7,8,9	12	6	1
30	    1	    1	    2	            11	            12	            11	2	        1	1,4,11	8	2	1,7,8,9	12	6	1
20	    3	    0	    1	            9.31	        17.5	        13.27	        3	3	1,2,3,4,5,6,7,9,10,11	2	0	1,3,5,4	2	2	5
20	    3	    0	    1	            9.31	        17.5	        13.27	        3	3	1,2,3,4,5,6,7,9,10,11	2	0	1,3,5,4	2	2	5
19	    44	    0	    4	            11.51	        15.55	        13	2	        3	4,9	7	8	1,3,6	7	8	5
19	    44	    0	    4	            11.51	        15.55	        13	2	        3	4,9	7	8	1,3,6	7	8	5
19	    3	    1	    4	            12.14	        14.43	        14.02	        2	3	1,3,5	7	5	10	7	5	3
19	    3	    1	    4	            12.14	        14.43	        14.02	        2	3	1,3,5	7	5	10	7	5	3
18	    1	    0	    4	            13	            15.05	        14	3	        2	2,3,4,6,9	1	4	10	7	5	4
18	    1	    0	    4	            13	            15.05	        14	3	        2	2,3,4,6,9	1	4	10	7	5	4
17	    4	    0	    4	            15.55	        16.65	        16.71	        3	2	1,5,7	8	1	10	8	4	1
17	    4	    0	    4	            15.55	        16.65	        16.71	        3	2	1,5,7	8	1	10	8	4	1
19	    44	    0	    7	            8.4	            13.83	        10.9	        2	3	3,6	6	1	1,2,10	13	6	2
19	    44	    0	    7	            8.4	            13.83	        10.9	        2	3	3,6	6	1	1,2,10	13	6	2
31	    1	    0	    9	            14	            9	            12	2	        4	1,2,3,11	6	0	1,2,4,10	13	8	3
31	    1	    0	    9	            14	            9	            12	2	        4	1,2,3,11	6	0	1,2,4,10	13	8	3
21	    28	    0	    4	            16.97	        17.45	        17.24	        3	3	2	2	5	1,2,3,10	2	8	4
21	    28	    0	    4	            16.97	        17.45	        17.24	        3	3	2	2	5	1,2,3,10	2	8	4
19	    3	    1	    4	            12.01	        16.97	        14.1	        3	2	1,3,4,6,7,9,10,11	7	8	1,5,10	7	7	4
19	    3	    1	    4	            12.01	        16.97	        14.1	        3	2	1,3,4,6,7,9,10,11	7	8	1,5,10	7	7	4
19	    5	    1	    7	            11.77	        13.65	        12	3	        3	1,3,9,11	6	1	2,4,6,10	7	4	4
19	    5	    1	    7	            11.77	        13.65	        12	3	        3	1,3,9,11	6	1	2,4,6,10	7	4	4
20	    16	    1	    4	            15.78	        17.4	        16.62	        3	3	2,9	7	0	2,3,10	7	9	5
20	    16	    1	    4	            15.78	        17.4	        16.62	        3	3	2,9	7	0	2,3,10	7	9	5
28	    2	    1	    4	            14	            16	            14	3	        2	2,4,8,11	8	2	2,3,7,10	8	6	3
28	    2	    1	    4	            14	            16	            14	3	        2	2,4,8,11	8	2	2,3,7,10	8	6	3
21	    10	    0	    4	            16	            15	            15.5	        2	3	0	7	0	7,10	7	7	5
21	    10	    0	    4	            16	            15	            15.5	        2	3	0	7	0	7,10	7	7	5
19	    3	    0	    4	            12.66	        16.5	        15	2	        2	2,3,4	2	4	4,5,10	7	3	2
19	    3	    0	    4	            12.66	        16.5	        15	2	        2	2,3,4	2	4	4,5,10	7	3	2
29	    29	    1	    4	            15.15	        13.25	        15.37	        2	1	2,3,4,7,10	1	6	10,11	2	7	4
29	    29	    1	    4	            15.15	        13.25	        15.37	        2	1	2,3,4,7,10	1	6	10,11	2	7	4
20	    8	    1	    4	            16	            17	            16	3	        3	5,11	8	1	1,6,10,11	7	7	3
20	    8	    1	    4	            16	            17	            16	3	        3	5,11	8	1	1,6,10,11	7	7	3
20	    3	    1	    1	            13	            17.9	        15.36	        3	3	1,3,4,6,7,9,10,11	8	5	1,4,5,6,7,10,11	3	8	5
20	    3	    1	    1	            13	            17.9	        15.36	        3	3	1,3,4,6,7,9,10,11	8	5	1,4,5,6,7,10,11	3	8	5
19	    14	    1	    4	            10.98	        15	            13.16	        2	2	10	3	0	3,10,11	17	8	5
19	    14	    1	    4	            10.98	        15	            13.16	        2	2	10	3	0	3,10,11	17	8	5
24	    6	    0	    2	            9.26	        12.6	        10.76	        2	2	2,9	8	5	3,11,12	16	1	3
24	    6	    0	    2	            9.26	        12.6	        10.76	        2	2	2,9	8	5	3,11,12	16	1	3
18	    11	    0	    4	            17.2	        16.8	        17.32	        3	2	2,5,6	2	0	3,10,12	3	8	5
18	    11	    0	    4	            17.2	        16.8	        17.32	        3	2	2,5,6	2	0	3,10,12	3	8	5
18	    2	    1	    2	            7.6	            16.9	        12.54	        2	2	1,2,3	5	1	1,2,3,4,5,6,10,12	7	4	2
18	    2	    1	    2	            7.6	            16.9	        12.54	        2	2	1,2,3	5	1	1,2,3,4,5,6,10,12	7	4	2
19	    3	    1	    1	            11.9	        18.6	        15.42	        4	4	1,3,4,7,10,11	8	0	1,2,3,4,5,7,10,12	1	6	5
19	    3	    1	    1	            11.9	        18.6	        15.42	        4	4	1,3,4,7,10,11	8	0	1,2,3,4,5,7,10,12	1	6	5
18	    3	    1	    4	            16.89	        17.75	        16.34	        2	1	3,8,11	6	8	1,2,3,4,10,12	7	7	4
18	    3	    1	    4	            16.89	        17.75	        16.34	        2	1	3,8,11	6	8	1,2,3,4,10,12	7	7	4
43	    0	    0	    9	            13.36	        12	            11.82	        3	2	1,2,3,4,5,11	4	1,2,8	1,2,3,4,10,12	9	8	5
43	    0	    0	    9	            13.36	        12	            11.82	        3	2	1,2,3,4,5,11	4	1,2,8	1,2,3,4,10,12	9	8	5
18	    3	    1	    1	            11.27	        17.45	        14.57	        4	2	4,8,10	1	7	1,2,3,4,5,6,7,8,10,12	7	8	4
18	    3	    1	    1	            11.27	        17.45	        14.57	        4	2	4,8,10	1	7	1,2,3,4,5,6,7,8,10,12	7	8	4
19	    0	    0	    4	            9	            16	9	        2	3	        1   9   10,11	4	1	1,2,3,4,5,6,10,12	1	5	4
19	    0	    0	    4	            9	            16	9	        2	3	        1   9   10,11	4	1	1,2,3,4,5,6,10,12	1	5	4
20	    3	    0	    1	            16	            19.15	        17.59	        3	3	2,3,6,10	2	0	1,2,3,5,7,10,12	2	7	4
20	    3	    0	    1	            16	            19.15	        17.59	        3	3	2,3,6,10	2	0	1,2,3,5,7,10,12	2	7	4
18	    3	    1	    4	            15.76	        16.35	        16.63	        3	2	3,4,5	8	1	1,2,3,5,7,12	7	5	2
18	    3	    1	    4	            15.76	        16.35	        16.63	        3	2	3,4,5	8	1	1,2,3,5,7,12	7	5	2
31	    0	    1	    4	            12	            14.05	        13.49	        3	2	1,3,5,6	2	8	1,2,3,10,12	6	7	2
31	    0	    1	    4	            12	            14.05	        13.49	        3	2	1,3,5,6	2	8	1,2,3,10,12	6	7	2
24	    3	    1	    4	            19.21	        17.75	        18.6	        2	1	1,10	0	0	1,2,3,6,10,12	3	8	5
24	    3	    1	    4	            19.21	        17.75	        18.6	        2	1	1,10	0	0	1,2,3,6,10,12	3	8	5
21	    0	    0	    4	            16.4	        17.2	        16.8	        3	4	0	1	8	1,2,3,5,10,12	2	7	4
21	    0	    0	    4	            16.4	        17.2	        16.8	        3	4	0	1	8	1,2,3,5,10,12	2	7	4
18	    3	    0	    4	            14.48	        14.75	        14.86	        2	2	6	8	1	1,2,3,5,10,12	3	10	5
18	    3	    0	    4	            14.48	        14.75	        14.86	        2	2	6	8	1	1,2,3,5,10,12	3	10	5
31	    3	    1	    1	            12.5	        14	            12.5	        4	2	2 6 7 1 1 2,3,5,6,7,10,12	1	8	4
31	    3	    1	    1	            12.5	        14	            12.5	        4	2	2 6 7 1 1 2,3,5,6,7,10,12	1	8	4
21	    2	    0	    4	            13.16	        15.3	        14.61	        2	3	3 4 5 6 9 11	7	4	1,2,3,5,6,7,8,10,12	1	9	5
21	    2	    0	    4	            13.16	        15.3	        14.61	        2	3	3 4 5 6 9 11	7	4	1,2,3,5,6,7,8,10,12	1	9	5
19	    3	    0	    4	            13.5	        16.9	        14.6	        2	2	2 3 6 9	7	1	1,2,3,10,12	1	6	5
19	    3	    0	    4	            13.5	        16.9	        14.6	        2	2	2 3 6 9	7	1	1,2,3,10,12	1	6	5
23	    0	    0	    2	            14.21	        9	            13.25	        2	2	3 4 8	1	0	1,2,3,10,12	7	7	4
23	    0	    0	    2	            14.21	        9	            13.25	        2	2	3 4 8	1	0	1,2,3,10,12	7	7	4
20	    3	    1	    4	            10	            16	            13	3	        2	2   4 5 11	2	1	1,2,3,6,10,12	7	7	5
20	    3	    1	    4	            10	            16	            13	3	        2	2   4 5 11	2	1	1,2,3,6,10,12	7	7	5
19	    3	    1	    6	            13	            14.7	        13	3	        3	1   3 4 9,11	1	0	1,2,3,5,6,10,12	2	8	5
19	    3	    1	    6	            13	            14.7	        13	3	        3	1   3 4 9,11	1	0	1,2,3,5,6,10,12	2	8	5
21	    2	    1	    4	            17	            17	            17.8	        3	2	12 4 8,9,11	7	5	1,2,3,5,6,7,8,10,12	2	8	4
21	    2	    1	    4	            17	            17	            17.8	        3	2	12 4 8,9,11	7	5	1,2,3,5,6,7,8,10,12	2	8	4
22	    20	    1	    4	            16.63	        16.1	        16.97	        3	2	17 9 1	0	1,2,3,5,6,7,10,12	2	7	4
22	    20	    1	    4	            16.63	        16.1	        16.97	        3	2	17 9 1	0	1,2,3,5,6,7,10,12	2	7	4
25	    3	    0	    2	            12.7	        16.5	        12	4	        4	1 2 34 1 	8	1	1,2,3,5,6,7,8,10,12	5	6	3
19	    3	    1	    4	            10.49	        14.8	        13.27	        2	1	13 4 8	0	1,2,5,10,12	7	5	3
19	    3	    1	    4	            10.49	        14.8	        13.27	        2	1	13 4 8	0	1,2,5,10,12	7	5	3
22	    2	    0	    4	            16.02	        10.65	        14.38	        3	2	14 5 2	0	1,2,5,10,12	6	9	5
22	    2	    0	    4	            16.02	        10.65	        14.38	        3	2	14 5 2	0	1,2,5,10,12	6	9	5
22	    7	    0	    4	            11	            15.75	        13.37	        3	2	46 8 8	1	1,2,11,12	5	9	5
22	    7	    0	    4	            11	            15.75	        13.37	        3	2	46 8 8	1	1,2,11,12	5	9	5
19	    0	    0	    4	            10	            17	            13	2	        1	2,3,48 0 2	1,2,11,12	7	5	5
19	    0	    0	    4	            10	            17	            13	2	        1	2,3,48 0 2	1,2,11,12	7	5	5
24	    44	    0	    4	            14	            10	            12	2	        2	9	7	8	1,2,3,4,5,6,7,11,12	1	7	5
24	    44	    0	    4	            14	            10	            12	2	        2	9	7	8	1,2,3,4,5,6,7,11,12	1	7	5
20	    40	    1	    4	            12.82	        17.66	        15.5	        3	1	1,2,4,7,11	7	5	1,2,3,4,5,6,7,8,11,12	1	8	5
20	    40	    1	    4	            12.82	        17.66	        15.5	        3	1	1,2,4,7,11	7	5	1,2,3,4,5,6,7,8,11,12	1	8	5
22	    8	    0	    5	            14.34	        15.3	        14.58	        3	3	2,3,6	2	4	1,2,3,4,5,6,7,8,11,12	2	8	4
22	    8	    0	    5	            14.34	        15.3	        14.58	        3	3	2,3,6	2	4	1,2,3,4,5,6,7,8,11,12	2	8	4
19	    0	    0	    2	            9.06	        13.85	        11.44	        2	3	2,6,9,11	5	8	1,2,3,4,5,6,7,8,9,11,12	16	4	2
19	    0	    0	    2	            9.06	        13.85	        11.44	        2	3	2,6,9,11	5	8	1,2,3,4,5,6,7,8,9,11,12	16	4	2
21	    3	    0	    4	            15.28	        16.5	        16.41	        3	3	2,3,4,5,6,8	0	0	1,2,3,4,5,6,7,8,9,11,12	15	8	4
21	    3	    0	    4	            15.28	        16.5	        16.41	        3	3	2,3,4,5,6,8	0	0	1,2,3,4,5,6,7,8,9,11,12	15	8	4
33	    0	    1	    4	            12	            10	            11	3	        2	1,2,4,7,9,10	5	8	1,2,3,4,5,6,7,8,9,10,11,12	17	10	4
33	    0	    1	    4	            12	            10	            11	3	        2	1,2,4,7,9,10	5	8	1,2,3,4,5,6,7,8,9,10,11,12	17	10	4
