Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
19,meknes,Homme,SP,"15,14","13,5","15,04",Intermediaire,Debutant,"Sport,Jeuxvideo,Artsplastiques,Technologie",Informatique,Langues,"Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,6,4
21,rabat,Femme,SM,"12,75","16,17","14,75",Avance,Intermediaire,"Sport,Voyage,Artsplastiques,Photographie",Mathematiques,Histoire,"Communication,Travailenequipe,Gestiondutemps,Creativite,Leadership",Ingenierie,8,4
19,sale,Homme,SP,"11,51","15,55",13,Intermediaire,Avance,"Voyage,Technologie,chess",Informatique,Biologie,"Adaptabilite,Resolutiondeproblmes,Leadership",Informatique,8,5
22,rabat,Homme,SP,12,12,"12,64",Intermediaire,Avance,"Musique,Voyage,Jeuxvideo,Benevolat,Photographie",Langues,Physique,"Communication,Travailenequipe,Leadership",Economie,7,5
19,sale,Homme,SP,10,17,13,Intermediaire,Debutant,"Sport,Musique,Voyage,Benevolat",Marketing,Physique,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite",Economie,5,5
20,rabat,Femme,SP,17,18,18,Avance,Intermediaire,"Lecture,Artsplastiques,Benevolat,Ecriture","Mathematiques,Litterature,Langues,Histoire",,"Adaptabilite,Creativite,Resolutiondeproblmes,Espritcritique,Autonomie",Ingenierie,7,4
20,fes,Femme,SM,13,"17,9","15,36",Avance,Avance,"Lecture,Musique,Voyage,Artsplastiques,Technologie,Ecriture,Photographie",Biologie,Histoire,"Communication,Gestiondutemps,Adaptabilite,Leadership,Empathie,Espritcritique,Autonomie",Medecine,8,5
23,el hajeb,Femme,SP,17,"14,4","16,65",Intermediaire,Intermediaire,"Sport,Voyage,Photographie",Physique,Langues,"Travailenequipe,Adaptabilite",Ingenierie,7,4
32,immouzzer,Femme,SP,"12,4",10,"11,8",Avance,Intermediaire,"Lecture,Sport,Cuisson",Physique,Chimie,"Resolutiondeproblmes,Espritcritique",Physique,7,4
31,fes,Femme,SM,"12,5",12,"12,5",Fluent,Intermediaire,"Sport,Jeuxvideo",Informatique,Mathematiques,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Leadership,Espritcritique",Informatique,8,4
24,rabat,Femme,SP,"15,01","16,31","15,51",Avance,Intermediaire,"Voyage,Artsplastiques,Benevolat,Technologie",Informatique,Histoire,"Communication,Travailenequipe,Gestiondutemps,Creativite,Leadership",Economie,8,5
19,sale,Homme,SE,"8,4","13,83","10,9",Intermediaire,Avance,"Sport,Musique",Langues,Mathematiques,"Communication,Adaptabilite,Creativite",Langues etrangères,6,2
21,tantan,Homme,SM,15,"14,5","15,3",Debutant,Debutant,Sport,Mathematiques,Litterature,Resolutiondeproblmes,Mathematiques appliquees,6,3
20,fes,Homme,SM,"9,31","17,5","13,27",Avance,Avance,"Lecture,Sport,Musique,Voyage,Cinema,Jeuxvideo,Artsplastiques,Technologie,Ecriture,Photographie",Physique,,"Adaptabilite,Resolutiondeproblmes,Espritcritique,Autonomie",Ingenierie,2,5
19,fes,Homme,SP,"13,5","16,9","14,6",Intermediaire,Intermediaire,"Sport,Musique,Jeuxvideo,Technologie",Informatique,Mathematiques,"Communication,Travailenequipe,Creativite",Informatique,6,5
22,alhoceima,Femme,SP,"16,63","16,1","16,97",Avance,Intermediaire,"Lecture,Artsplastiques,Technologie",Mathematiques,,"Communication,Travailenequipe,Creativite,Resolutiondeproblmes,Leadership,Espritcritique",Ingenierie,7,4
19,fes,Homme,SP,"12,66","16,5",15,Intermediaire,Intermediaire,"Sport,Musique,Voyage",Physique,Litterature,"Communication,Espritcritique,Autonomie",Informatique,3,2
22,mohammedia,Femme,SP,"15,6","13,6","15,64",Intermediaire,Intermediaire,"Lecture,Sport,Voyage,Artsplastiques",Mathematiques,,"Adaptabilite,Creativite",Physique,5,2
22,agadir,Homme,SP,"17,21","17,31","17,15",Intermediaire,Avance,"Sport,Musique,Voyage,Cinema,Jeuxvideo,Technologie",Physique,Litterature,"Travailenequipe,Gestiondutemps,Creativite,Espritcritique",Informatique,8,4
19,fes,Femme,SP,"12,01","16,97","14,1",Avance,Intermediaire,"Lecture,Musique,Voyage,Jeuxvideo,Artsplastiques,Technologie",Informatique,Biologie,"Communication,Adaptabilite,Espritcritique",Informatique,7,4
20,fes,Homme,SP,"14,5","15,5",15,Intermediaire,Intermediaire,"Lecture,Sport",Informatique,,"Travailenequipe,Resolutiondeproblmes,Espritcritique",Informatique,8,5
21,sale,Femme,SVT,"15,14","17,2","16,4",Avance,Avance,"Sport,Voyage,Benevolat,Photographie",Biologie,,"Travailenequipe,Adaptabilite,Empathie",Biologie,8,4
30,el hajeb,Femme,SVT,11,12,11,Intermediaire,Debutant,"Lecture,Voyage,Photographie,Cuisson",Biologie,Physique,"Adaptabilite,Empathie,Ecoute,Gestiondustress",education,6,1
20,midelt,Femme,SP,"15,37","15,95","15,77",Avance,Intermediaire,"Lecture,Musique,Voyage",Informatique,Histoire,Resolutiondeproblmes,Reseau,9,4
31,meknes,Femme,SP,"17,4","13,4","16,11",Avance,Intermediaire,Dormir,Chimie,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Empathie,Autonomie",Chimie,8,4
