Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
18,fes,Homme,SM,"12,5",18,"15,5",Avance,Intermediaire,"Sport,Musique,Voyage,Cinema,Jeuxvideo,Benevolat",Physique,Biologie,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Economie,8,3
19,ouezzane,Homme,SP,"13,6","17,75","15,41",Intermediaire,Intermediaire,"Sport,Jeuxvideo,Artsplastiques,Ecriture,Chess",Mathematiques,Biologie,"Creativite,Resolutiondeproblmes,Leadership,Espritcritique",Economie,4,2
19,fes,Femme,SP,"14,35","16,5","15,31",Avance,Intermediaire,"Sport,Musique,Voyage,Technologie,Photographie",Mathematiques,Histoire,"Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Autonomie",Economie,8,5
19,meknes,Femme,SE,"16,18","15,63","16,45",Intermediaire,Intermediaire,autosport,comptabilite,Langues,"Travailenequipe,Gestiondutemps,Resolutiondeproblmes,Espritcritique,Autonomie",Economie,7,5
18,casa,Femme,SE,"15,46","16,6","16,34",Avance,Fluent,"Lecture,Musique,Cinema,Jeuxvideo,Ecriture,Photographie",Langues,Mathematiques,"Travailenequipe,Gestiondutemps,Resolutiondeproblmes,Espritcritique,Autonomie",Economie,8,5
18,casa,Homme,SP,13,"15,05",14,Avance,Intermediaire,"Sport,Musique,Voyage,Jeuxvideo,Technologie",Mathematiques,Litterature,Communication,Informatique,5,4
17,marrakech,Homme,SP,"15,55","16,65","16,71",Avance,Intermediaire,"Lecture,Cinema,Artsplastiques",Biologie,Mathematiques,Communication,Biologie,4,1
21,casa,Femme,SM,"17,18","19,1","18,17",Avance,Fluent,"Lecture,Ecriture",Informatique,,"Travailenequipe,Adaptabilite,Empathie,Espritcritique",Informatique,7,5
21,tetouan,Homme,SP,16,15,"15,5",Intermediaire,Avance,,Informatique,,"Communication,Empathie",Informatique,7,5
19,nador,Femme,SP,"10,98",15,"13,16",Intermediaire,Intermediaire,Ecriture,Chimie,,"Communication,Gestiondutemps,Resolutiondeproblmes",Chimie,8,5
21,casa,Femme,SGC,"11,82","12,12",11,Avance,Intermediaire,Lecture,philosofie,,"Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Autonomie",Economie,5,3
23,rabat,Homme,SP,"12,88","13,1","12,8",Debutant,Debutant,"Sport,Voyage,Jeuxvideo,Technologie",Informatique,Informatique,Gestiondutemps,Informatique,8,5
25,oujda,Femme,SP,11,"13,5","12,78",Avance,Avance,"Lecture,Photographie",Langues,,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes",Informatique,4,3
18,nador,Homme,SP,13,14,14,Intermediaire,Intermediaire,"Musique,Jeuxvideo,Technologie",Informatique,Biologie,Gestiondutemps,Informatique,8,4
18,ksar el kebir,Femme,SM,14,"17,85","16,26",Avance,Intermediaire,"Lecture,Sport,Voyage,Benevolat,Technologie",Mathematiques,Physique,"Communication,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Autonomie",Ingenierie,8,5
20,casa,Homme,SP,16,18,16,Intermediaire,Intermediaire,"Lecture,Sport,Technologie",Physique,Biologie,"Communication,Travailenequipe",Informatique,6,3
22,casa,Femme,SP,"13,13","17,8","15,11",Avance,Avance,"Lecture,Musique,Cinema,Technologie,Ecriture",Mathematiques,Histoire,"Creativite,Espritcritique",Informatique,7,4
23,sale,Femme,SP,"16,73",16,"16,67",Avance,Avance,"Lecture,Sport,Benevolat,Technologie",Mathematiques,Chimie,"Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes,Espritcritique",Ingenierie,7,3
30,casa,Femme,SM,"14,3",16,"14,7",Fluent,Fluent,"Sport,Voyage,Ecriture",Informatique,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership",Ingenierie,3,1
21,marrakech,Homme,SP,"14,25","16,25","15,25",Intermediaire,Intermediaire,,Informatique,Mathematiques,Adaptabilite,Informatique,7,5
24,agadir,Femme,SM,12,15,13,Avance,Avance,"Lecture,Sport,Technologie,Photographie",Mathematiques,,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes,Empathie,Espritcritique,Autonomie",Informatique,8,5
21,fes,Homme,SP,"14,75","18,2","16,53",Intermediaire,Intermediaire,"Sport,Musique,Jeuxvideo,Technologie",Informatique,Mathematiques,"Travailenequipe,Adaptabilite,Espritcritique",Ingenierie,7,4
22,taroudant,Femme,SM,"9,5",15,"11,5",Avance,Intermediaire,"Sport,Voyage,Cinema,Benevolat,Technologie,Photographie",Informatique,Histoire,"Communication,Travailenequipe,Adaptabilite,Resolutiondeproblmes,Empathie,Autonomie",Ingenierie,6,4
20,tetouan,Homme,SM,12,17,14,Avance,Avance,"Sport,Voyage,Jeuxvideo,Technologie",Informatique,Biologie,"Communication,Travailenequipe,Gestiondutemps,Creativite,Resolutiondeproblmes,Leadership,Espritcritique",Informatique,9,5
20,marrakech,Homme,SP,"13,27","16,9","15,27",Intermediaire,Debutant,"Sport,Voyage",Physique,,"Communication,Travailenequipe,Adaptabilite,Leadership,Espritcritique,Autonomie",Medecine,9,5
17,benguerir,Femme,SP,17,"17,65","17,2",Intermediaire,Intermediaire,"Lecture,Sport,Artsplastiques,Technologie,Ecriture,Photographie",Physique,Langues,"Communication,Travailenequipe,Gestiondutemps,Creativite,Resolutiondeproblmes,Leadership,Espritcritique,Autonomie",Medecine,10,5
18,fes,Femme,SP,12,"17,3","14,5",Avance,Intermediaire,"Sport,Musique,Voyage,Photographie",Informatique,,"Communication,Travailenequipe,Resolutiondeproblmes,Espritcritique,Autonomie",Informatique,7,5
18,agadir,Femme,SE,"14,36","13,51","15,01",Avance,Intermediaire,"Sport,Musique,Voyage,Photographie",Langues,Mathematiques,"Communication,Travailenequipe,Leadership",Economie,6,4
21,safi,Homme,SP,"12,75","15,7","15,76",Avance,Avance,"Musique,Voyage,Artsplastiques",Informatique,Chimie,Travailenequipe,Informatique,10,5
18,agadir,Femme,SE,"13,7","12,6",15,Intermediaire,Debutant,"Sport,Musique,Voyage",Comptabilite,Mathematiques,"Travailenequipe,Gestiondutemps,Creativite",Economie,6,5
19,sale,Homme,SP,9,"14,9","11,82",Avance,Debutant,"Sport,Musique,Voyage,Jeuxvideo",Mathematiques,Langues,"Communication,Travailenequipe,Resolutiondeproblmes",Infirmerie,8,3
19,sale,Femme,SP,10,"15,67","11,66",Avance,Debutant,"Musique,Voyage,Cinema",Physique,Informatique,"Communication,Travailenequipe,Gestiondutemps,Creativite,Resolutiondeproblmes",Infirmerie,8,4
20,sale,Femme,SP,"10,45","16,4","11,3",Fluent,Avance,"Lecture,Musique,Voyage,Cinema,Artsplastiques,Benevolat",Biologie,Mathematiques,"Communication,Creativite,Empathie,Espritcritique,Autonomie",Infirmerie,9,5
18,sale,Homme,SP,8,"15,05","10,73",Intermediaire,Avance,"Sport,Voyage,Cinema,Jeuxvideo",Informatique,Mathematiques,Empathie,Reseau,6,4
19,sale,Femme,SP,10,15,12,Avance,Fluent,"Lecture,Musique,Voyage,Cinema,Photographie",Physique,Mathematiques,"Communication,Adaptabilite,Resolutiondeproblmes,Empathie",Infirmerie,9,5
18,sale,Homme,SP,9,16,11,Intermediaire,Avance,"Lecture,Sport,Musique,Voyage,Cinema,Jeuxvideo,",Langues,Biologie,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Infirmerie,10,1
