Age , Ville , Sexe , spécialité_BAC , Nationale , examen_Régional , Note_Générale , Français ,  Anglais , Loisirs , préférée ,  détestée , Skills ,  Spécialité , performance, satisfaction
24,23,0,4,14,10,12,2,2,"17",7,2,"4, 13, 10, 1, 5, 12, 11",7,7,5
20,24,1,4,12.82,17.66,15.5,3,1,"12, 16, 18, 2, 14",7,5,"4, 13, 10, 1, 5, 12, 11, 3",7,8,5
22,15,0,5,14.34,15.3,14.58,3,3,"16, 13, 11, 1",14,9,"4, 13, 10, 1, 5, 12, 8",2,8,4
19,5,0,2,9.06,13.85,11.44,2,3,"16, 11, 17, 14",5,2,"4, 13, 10, 1, 5, 12, 8, 9",2,4,2
21,8,0,4,15.28,16.5,16.41,3,3,"16, 13, 18, 6, 11, 4",15,8,"4, 13, 10, 1, 5, 12, 8, 9",15,8,4
33,25,1,4,12,10,11,3,2,"12, 16, 18, 2, 17, 10",5,2,"4, 13, 10, 1, 5, 12, 8, 9, 3",3,10,4
18,8,0,1,12.5,18,15.5,3,2,"16, 13, 18, 6, 11, 4",14,2,"4, 13, 10, 1, 5, 12, 8, 9, 3",7,8,3
24,7,1,4,16.98,13.9,16.14,3,3,"12, 13, 18, 6, 11, 4, 17, 10, 14",11,5,"4, 13, 10, 1, 5, 12, 8, 9, 3",2,10,5
22,26,0,4,16.42,16.92,16.67,2,2,"16, 18, 4",7,9,"4, 13, 10, 1, 5, 12, 8, 9, 3",7,8,5
18,17,1,4,12,15,12,4,4,"12, 16, 13, 18, 6, 4, 17, 10",8,14,"4, 13, 10, 1, 5, 12, 8, 9, 3",2,8,3
19,5,0,4,11,15,13,3,4,"17",14,8,"4, 13, 10, 1, 5, 12, 9",14,8,4
23,27,0,4,18.03,13.5,16.81,2,2,"12, 13",14,5,"4, 13, 10, 1, 5, 12, 9, 3",2,8,5
31,2,1,4,17.4,13.4,16.11,3,2,9,3,5,"4, 13, 10, 1, 8, 3",3,8,4
19,8,0,1,15,17,16.67,4,3,"12, 16, 18, 11, 2, 17",5,14,"4, 13, 10, 1, 9, 3",7,8,5
21,5,1,4,16.7,17.85,17,4,3,"12, 13, 18, 6, 4",11,5,"4, 13, 10, 1, 11, 3",2,10,5
22,28,1,7,12.6,13.25,13.51,3,1,"13, 18",8,5,"4, 13, 10, 1, 12, 11",7,8,4
20,29,0,4,16.47,16.5,16.7,3,2,"16, 18, 11, 17",14,11,"4, 13, 10, 5, 9",7,7,3
24,7,1,4,15.01,16.31,15.51,3,2,"18, 2, 4, 17",7,5,"4, 13, 10, 11",7,8,5
21,7,1,1,12.75,16.17,14.75,3,2,"16, 18, 2, 14",11,5,"4, 13, 10, 11",2,8,4
24,30,1,4,17,17,17,3,3,"12, 13, 17",7,14,"4, 13, 10, 12, 11, 3",7,9,5
23,8,1,4,16.49,17.68,17.06,4,2,"13, 18",14,8,"4, 13, 10, 11, 3",2,9,5
21,6,0,10,16.15,15,3,3,"16, 13, 18, 11, 10",8,14,"4, 13, 10, 12, 11",15,6,3
22,7,0,4,12,12,12.64,2,3,"13, 18, 11, 4, 14",8,14,"4, 13, 11",7,7,5
20,13,0,4,10,11,10.27,2,2,"16, 18, 17",7,9,"4, 13, 12",7,7,2
23,8,0,4,13.5,15.5,13,3,2,"12, 16, 13, 18, 14",14,11,"4, 13, 12, 11, 8, 9, 3",2,6,4
25,8,1,4,12.2,14.85,11.6,2,1,"2",8,14,5,11,7,5
20,13,1,2,7.98,15.7,11.92,3,2,18,6,11,5,2,6,4
25,30,1,4,12,16.9,13.23,3,2,"13, 18, 6, 14",2,8,"5, 8, 3",2,7,3
18,9,0,7,10.15,13.45,11.77,2,3,"13, 11, 2",1,5,"5, 9",7,3,2
20,31,1,9,16.83,12.86,15.86,2,3,"13, 2, 14",5,11,"5, 12, 9",11,2,1
19,15,1,4,12.1,13,12.1,3,3,"12, 16, 13, 18, 6, 2, 17",11,2,"5, 12, 11",12,9,3
19,32,0,4,13.6,17.75,15.41,2,2,"16, 11, 2, 10, 5",11,2,"5, 12, 11, 9",7,4,2
23,8,0,4,13.5,13.5,13.5,3,2,"16, 13, 18, 6, 11",7,2,"8, 9",14,7,2
19,2,0,4,15.14,13.5,15.04,2,1,"16, 11, 2, 17",7,8,"10, 1, 5, 12",7,6,4
19,8,1,4,14.35,16.5,15.31,3,2,"16, 13, 18, 17, 14",11,5,"10, 1, 5, 12, 3",7,8,5
21,6,1,8,11.82,12.12,11,3,2,12,13,8,"10, 1, 5, 12, 3",7,5,3
28,8,0,2,13,15,14,2,4,"12, 6, 11",8,14,"10, 1, 11",9,7,5
20,8,0,5,15.76,16.55,15.75,3,3,"16, 11, 17",7,5,"10, 11",7,8,5
31,2,0,1,12.5,10.5,11.85,2,2,"16, 17",11,9,11,2,7,4
20,29,1,4,15.37,15.95,15.77,3,2,"12, 13, 18",7,5,12,19,9,4
21,33,0,1,15,14.5,15.3,1,1,16,11,9,12,4,6,3
30,5,1,7,15,6.86,11.45,2,2,6,14,11,12,7,8,4
32,34,1,4,12.4,10,11.8,3,2,"12, 16, 7",14,2,"12, 9",14,7,4
20,8,0,4,14.05,10.75,14.5,2,3,"13, 11, 17, 14",7,14,"12, 9",7,9,5
21,8,1,4,15.17,17.1,16.13,3,3,"2, 17",7,5,13,2,8,4
31,9,1,2,14,12,13,2,1,"12, 13, 6",7,5,13,2,5,2
20,5,0,7,14,13,15,3,2,16,11,9,13,7,8,4
18,28,1,8,14.67,16.48,15.52,3,2,"13, 18, 14",4,11,13,7,8,4
23,9,1,4,17,14.4,16.65,2,2,"16, 18, 14",14,8,"13, 1",2,7,4
21,24,0,4,15.57,15.5,15.54,3,2,16,7,9,"13, 1",7,7,4
